file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00275_0488_2868660_to_2869343,དེ་ཡང་ ,de yang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00275_0488_2868660_to_2869343.wav,STT_AB,3,7,0.683,wav16k/STT_AB00275_0488_2868660_to_2869343.wav,དེ་ཡང་
STT_NS_M0480_0004_32346_to_36885,ངས་གཙོ་བོ་དེ་ག་རེ་བཤད་དགོས་བསམ་སོང་ལབ་ན་ང་ཚོ་ཀ་ཅི་ད་ཨེ་ག་ལབ་དགོས་རེད།  ,ngas gtso bo de ga re bshad dgos bsam song lab na nga tsho ka ci da e ga lab dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0480_0004_32346_to_36885.wav,STT_NS,3,71,4.539,wav16k/STT_NS_M0480_0004_32346_to_36885.wav,ངས་གཙོ་བོ་དེ་ག་རེ་བཤད་དགོས་བསམ་སོང་ལབ་ན་ང་ཚོ་ཀ་ཅི་ད་ཨེ་ག་ལབ་དགོས་རེད།
STT_CS-L-2015_2015-P_P-D_D-B01_B02-2_2-R_R-01_0255_1964940_to_1969479,བོད་ཡིག་རྒན་ལགས། འདི། དེ་གཉིས་བ་འདུག་ག གཉིས་པ་ཚང་མ་ང་རྟགས་མཉམ་དུ་རྒྱག་གི་ཡིན་ད། འདི།  ,bod yig rgan lags/_'di/_de gnyis ba 'dug ga_gnyis pa tshang ma nga rtags mnyam du rgyag gi yin da/_'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2015-P_P-D_D-B01_B02-2_2-R_R-01_0255_1964940_to_1969479.wav,STT_CS,3,86,4.539,wav16k/STT_CS-L-2015_2015-P_P-D_D-B01_B02-2_2-R_R-01_0255_1964940_to_1969479.wav,འདེའི་རྒན་ལགས་འདི་འདི་གཉིས་པ་འདུག་བ། གཉིས་པ་ཚང་མ་ང་རྟགས་མཉམ་དུ་རྒྱབ་ཡིན་ད། འདི།
STT_PC0037_0095_539226_to_542042,རྒྱབ་སྐྱོར་བྱེད་ཡ་བྱས་པ་ཡིན་ན་ད་སོ་སོ་ད་ཨ་ཅང་ཅང་རེད་བ།  ,rgyab skyor byed ya byas pa yin na da so so da a cang cang red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0037_0095_539226_to_542042.wav,STT_PC,3,56,2.816,wav16k/STT_PC0037_0095_539226_to_542042.wav,རྒྱབ་སྐྱོར་བྱེད་ཡ་བྱས་པ་ཡིན་ན། ད་སོ་སོའ་ད་ཨ་ཅང་ཅང་རེད་བ།
STT_NS_M0479_0993_7194951_to_7197575,ད་འདི་ད་ཡོད་རེད་ད། སོ་སོ་གི་ད་སེམས་པ་ནང་ལོགས་ལ།  ,da 'di da yod red da/_so so gi da sems pa nang logs la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0479_0993_7194951_to_7197575.wav,STT_NS,3,49,2.624,wav16k/STT_NS_M0479_0993_7194951_to_7197575.wav,ད་འདི་ད་ཡོད་རེད་ད། སོ་སོ་གི་ད་སེམས་པ་ནང་ལོགས་ལ།
STT_NS_M0479_0996_7209031_to_7214836,ཁོ་རང་ཚོ་གི་ད་ཚོང་ཁང་ལ་དབྱིན་ཇིའི་མིང་བཞག་བ་ཡིན་ན་ག་རེའི་མིང་བཞག་བ་ཡིན་ན་ཁོ་རང་ཚོ་དབྱིན་ཇི་ཆགས་འགྲོ་ཡ་ནི་ཡོད་མ་རཱ།  ,kho rang tsho gi da tshong khang la dbyin ji'i ming bzhag ba yin na ga re'i ming bzhag ba yin na kho rang tsho dbyin ji chags 'gro ya ni yod ma rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0479_0996_7209031_to_7214836.wav,STT_NS,3,116,5.805,wav16k/STT_NS_M0479_0996_7209031_to_7214836.wav,ཁོ་རང་ཚོ་གི་ད་ཚོང་ཁང་ལ་དབྱིན་ཇིའི་མིང་བཞག་བ་ཡིན་ནས་ག་རེའི་མིང་བཞག་བ་ཡིན་ན་ཁོ་རང་ཚོ་དབྱིན་ཇི་ཆགས་འགྲོ་ཡ་ནི་ཡོད་མ་རཱ།
STT_NS_M0479_0998_7220792_to_7226992,ཞེ་བོ་ད་དབྱིན་ཇིའི་ལུང་པ་གིས་འཁྱེར་འགྲོ་ཡ་འདྲ་བོ་ནི་ཡོད་མ་རཱ། ཨེ་ནས་ཨོ་ཙང་སོ་སོ་གི་ཞི་བདེའི་ངང་ནས་བསྡད་ཐུབ་ཡ་དེ་གལ་ཆེན་པོ་རཱ་ད་སོ་སོ་གིས།  ,zhe bo da dbyin ji'i lung pa gis 'khyer 'gro ya 'dra bo ni yod ma rA/_e nas o tsang so so gi zhi bde'i ngang nas bsdad thub ya de gal chen po rA da so so gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0479_0998_7220792_to_7226992.wav,STT_NS,3,139,6.2,wav16k/STT_NS_M0479_0998_7220792_to_7226992.wav,ཞེ་བོ་ད་དབྱིན་ཇིའི་ལུང་པ་གིས་འཁྱེར་འགྲོ་ཡ་འདྲ་བོ་ནི་ཡོད་མ་རཱ། ཨེ་ནས་ཨོ་ཙང་སོ་སོ་གིས་ཞི་བདེའ་སྒང་ནས་བསྡད་ཐུབ་ཡ་དེ་གལ་ཆེན་པོ་རཱ་ད་སོ་སོ་གིས།
STT_NS_M0479_1002_7239600_to_7245463,ཚོང་ཁང་དེ་ཚོ་ལ་རྡོ་གཞུས། ཨེ་ནས་ད་གང་བྱུང་མང་བྱུང་བྱེད་ཡ་དེ་ཚོ་ད་དཔེ་སེམས་པ་སྐྱོ་བོ་རེད་ཤག་རཱ། ད་དུང་ཁོ་རང་ཚོ་ཀ་ཅི་ད།  ,tshong khang de tsho la rdo gzhus/_e nas da gang byung mang byung byed ya de tsho da dpe sems pa skyo bo red shag rA/_da dung kho rang tsho ka ci da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0479_1002_7239600_to_7245463.wav,STT_NS,3,118,5.863,wav16k/STT_NS_M0479_1002_7239600_to_7245463.wav,ཚོང་ཁང་དེ་ཚོ་ལ་རྡོ་གཞུས། ཨེ་ནས་ད་གང་བྱུང་མང་བྱུང་བྱེད་ཡ་དེ་ཚོ་ད་དཔེ་སེམས་པ་སྐྱོ་བོ་རེད་ཤག་རཱ། ད་དུང་ཁོ་རང་ཚོ་ཀ་ཅི་ད།
STT_NS_M0480_0006_47773_to_51220,ཨོང་གོ་སྐབས་དཔེ་བཟང་པོ་གཅིག་རེད་ཡོད་བ།  ,ong go skabs dpe bzang po gcig red yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0480_0006_47773_to_51220.wav,STT_NS,3,40,3.447,wav16k/STT_NS_M0480_0006_47773_to_51220.wav,ཨེ་གོ་སྐབས་དཔེ་བཟང་པོ་ཅིག་རེད་ཡོད་བ།
STT_NS_M0480_0007_53274_to_55735,སློབ་གྲྭ་ལ་ད་ང་ཚོ་ལ་ད་ལྟ་བར་དུ་བསླབས་རྒྱོ་གི་སློབ།  ,slob grwa la da nga tsho la da lta bar du bslabs rgyo gi slob/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0480_0007_53274_to_55735.wav,STT_NS,3,52,2.461,wav16k/STT_NS_M0480_0007_53274_to_55735.wav,སློབ་གྲྭ་ལ་ད་ང་ཚོ་ལ་ད་ལྟ་བར་དུ་བསླབ་རྒྱོ་གི་སློབ།
STT_NS_M0480_0016_119494_to_121677,ཆུང་ཆུང་ནས་ཆེན་པོ་ཆགས་ཆགས་བར་དུ་ང་རང་།  ,chung chung nas chen po chags chags bar du nga rang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0480_0016_119494_to_121677.wav,STT_NS,3,40,2.183,wav16k/STT_NS_M0480_0016_119494_to_121677.wav,ཆུང་ཆུང་ནས་ཆེན་པོ་ཆགས་ཆགས་བར་དུ་ང་རང་།
STT_AB00275_0489_2869718_to_2876271,མཚན་ཕྱེད་ལ་བབ་པའི་དུས་རང་ན་ཕྱི་སྐོར་བྱེད་པ་ཉིན་མོ་ལས་ཅུང་ཟད་ཉུང་བར་མངོན་པ་ཙམ་མ་གཏོགས།  ,mtshan phyed la bab pa'i dus rang na phyi skor byed pa nyin mo las cung zad nyung bar mngon pa tsam ma gtogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00275_0489_2869718_to_2876271.wav,STT_AB,3,87,6.553,wav16k/STT_AB00275_0489_2869718_to_2876271.wav,མཚན་བྱེད་ལ་བབ་པའི་དུས་རང་ན་ཕྱི་སྐོར་བྱས་པ་ཉོན་མོངས་ལས་ཅུང་ཟད་ཉུང་བར་མངོན་པ་ཙམ་མ་གཏོགས།
